Lipid_species,Mean_mz,ppm_of_mz,Number_of_hits,Mean_score,STD_Score,Mean_of_retention_time,STD_of_retention_time,Area
WE +NH4 13:1/13:0,412.414614316913,0,1,16.1850562897348,0,8.1267,0,90451794.320308
WE +NH4 10:1/14:0,384.383087158203,0,1,26.6957845010558,0,7.06445,0,86480355.3126366
WE +NH4 14:3/13:2,418.367049664076,0,1,12.8610877616887,0,4.88606666666667,0,61576252.1305726
WE +NH4 10:1/18:0,440.445316123396,0,1,12.8804646936674,0,9.368,0,53493708.7775236
WE +H 20:1/25:3,654.63743217683,0,1,11.025030254888,0,15.5222166666667,0,52619456.6016991
WE +NH4 14:4/12:1,404.351409912109,0,1,15.5485037074303,0,4.69406666666667,0,42083800.5093058
WE +NH4 11:1/14:0,398.398397721632,0,1,13.1646441355679,0,7.59045,0,32621747.7814093
WE +NH4 10:1/17:0,426.42973946055,0,1,13.3488836691852,0,8.76945,0,17411242.7690532
WE +H 21:2/27:3,694.669087470346,0,1,11.2116476187885,0,15.7463666666667,0,12662255.7701595
