Lipid_species,Mean_mz,ppm_of_mz,Number_of_hits,Mean_score,STD_Score,Mean_of_retention_time,STD_of_retention_time
DG +NH4 18:0/24:4,718.63308353716,0,1,12.3024617587286,0,9.76601666666667,0
DG +NH4 22:1/20:3,718.63298520591,0,1,11.9089659159628,0,11.0494333333333,0
