Lipid_species,Mean_mz,ppm_of_mz,Number_of_hits,Mean_score,STD_Score,Mean_of_retention_time,STD_of_retention_time,Area
PC +H 10:0/22:0,734.568464543775,0,1,11.9930751065339,0,8.03641666666667,0,23458535.8587467
PC +H 10:0/23:0,748.584532754813,0,1,11.9930751065339,0,8.3475,0,18433901.2873962
