Lipid_species,Mean_mz,ppm_of_mz,Number_of_hits,Mean_score,STD_Score,Mean_of_retention_time,STD_of_retention_time,Area
SM +H d14:0/20:0,705.587947091673,0,1,19.6740801592513,0,7.41351666666667,0,76723600.6029829
SM +Li d14:1/21:1,721.58352011408,0,1,16.9952645784617,0,7.06605,0,15325430.1844679
SM +H d14:0/20:1,703.573437072899,0,1,12.5027483331619,0,7.06765,0,13822964.7863172
