Lipid_species,Mean_mz,ppm_of_mz,Number_of_hits,Mean_score,STD_Score,Mean_of_retention_time,STD_of_retention_time,Area
MG +H 18:0,359.31504613658,0.0682477380175695,2,23.5864557263676,0.0529926924430821,4.82499166666667,0.191779144170811,35498173.9903436
MG +H 24:5,433.330929215959,0,1,11.8108134152405,0,3.55205,0,30689008.7034801
MG +NH4 24:0,460.434571824396,0,1,11.5852100228704,0,7.4167,0,21567384.1721846
MG +H 16:0,331.283769905106,0,1,24.1245490161497,0,4.28143333333333,0,19394146.8095498
MG +H 24:0,443.408095636431,0,1,31.982114229925,0,7.42905,0,15222672.6687609
MG +H 18:1,357.299572627471,0,1,34.3260027233844,0,4.37961666666667,0,14358117.1246585
MG +H 23:3,423.345184830102,0,1,11.7201077674981,0,4.12741666666667,0,11577929.3259829
MG +H 23:4,421.330523212226,0,1,11.7346622102025,0,3.64958333333333,0,11222993.4297148
